Theme,Year,Citation,DOI,Data,Code,Themes
1,2020,"Meireles JE, et al. 2020. Leaf reflectance spectra capture the evolutionary history of seed plants. New Phytologist 228 (2): 485-493.",[10.1111/nph.16771](https://doi.org/10.1111/nph.16771),[Figshare - Seed plant phylogeny](https://figshare.com/articles/dataset/seed_plant_phylogeny/12449153):&:[Figshare - Spectral Dataset](https://figshare.com/articles/dataset/Spectral_Dataset/12449147),,2
1,2021,"Stasinski L et al. 2021. Leaf spectra capture fine-scale diversity of closely related, hybridizing arctic shrubs. New Phytol. 2021 Dec",[10.1111/nph.17731](https://doi-org.ezp2.lib.umn.edu/10.1111/nph.17731),[Raw sequence reads in NCBI BioProject]( http://www.peptideatlas.org/PASS/PRJNA670097):&:[Leaf spectra](https://figshare.com/projects/Spectra_from_Dryas_alaskensis_Dryas_ajanensis_and_their_hybrids/96251),[Github](https://github.com/LanceStasinski/Dryas2),
1,2022,"Fontes, C. G., et al. 2022. Adaptive variation among oaks in wood anatomical properties is shaped by climate of origin and shows limited plasticity across environments. Functional Ecology 36:326-340.",[10.1111/1365-2435.13964](https://doi-org.ezp3.lib.umn.edu/10.1111/1365-2435.13964),[Dryad](https://doi-org.ezp3.lib.umn.edu/10.5061/dryad.5hqbzkh74),,
2,2021,"Laughlin DC, et al. Weigelt A. 2021. Root traits explain plant species distributions along climatic gradients yet challenge the nature of ecological trade-offs. Nature Ecology & Evolution 5: 1123–1134 ",[10.1038/s41559-021-01471-7](https://pubmed.ncbi.nlm.nih.gov/34112996/),[iDIV](https://doi.org/10.25829/idiv.3475-8-2316),[iDIV](https://doi.org/10.25829/idiv.3475-8-2316),3
2,2022,"Joswig, J.S., et al. 2022. Climatic and soil factors explain the two-dimensional spectrum of global plant trait variation. Nat Ecol Evol 6, 36–50.",[10.1038/s41559-021-01616-8](https://doi.org/10.1038/s41559-021-01616-8),[Github](https://github.com/juliajoswig/ Repo_ClimateSoil_TraitSpectrum),[Github](https://github.com/juliajoswig/ Repo_ClimateSoil_TraitSpectrum),"3, 4, 5"
2,2022,"Schuster MJ, et al. 2022. Patterns of belowground overyielding and fine‐root biomass in native and exotic angiosperms and gymnosperms.",[10.1111/oik.08877](https://doi.org/10.1111/oik.08877),[Data Respository of UMN](https://conservancy.umn.edu/handle/11299/226614),,3
2,2022,"Zu P-J, et al. 2022. Plant-insect chemical communication in ecological communities: an information theory perspective. Journal of Systematics and Evolution.",[10.1111/jse.12841](https://doi.org/10.1111/jse.12841),[Zenodo](https://zenodo.org/record/6308472),[Zenodo](https://zenodo.org/record/6308472),3
2,2022,"Kothari S, et al. 2022. Reflectance spectroscopy allows rapid, accurate and non-destructive estimates of functional traits from pressed leaves. Methods in Ecology and Evolution, 00, 1– 17. ",[10.1111/2041-210X.13958] (https://doi.org/10.1111/2041-210X.13958),[Data Respository of UMN](https://conservancy.umn.edu/handle/11299/228067),[DRUM](https://conservancy.umn.edu/handle/11299/228067),
3,2021,"Avolio, ML, et al. 2021. Determinants of community compositional change are equally affected by global change. Ecology Letters 24:1892-1904.",[10.1111/ele.13824](https://doi.org/10.1111/ele.13824),[EDI Data Portal](https://doi.org/10.6073/pasta/1d54a326d6420a678b1553d493bfca1a),[Github](https://github.com/mavolio/CoRRE-Community-Change-Paper),
3,2021,"Williams LJ, et al. 2021. Remote spectral detection of biodiversity effects on forest biomass. Nature Ecology & Evolution 5: 46-54.",[10.1038/s41559-020-01329-4](https://www.nature.com/articles/s41559-020-01329-4),[Data Repository of UMN](https://doi.org/10.13020/s7pf-am91),[UMN Data Repository](https://doi.org/10.13020/s7pf-am91),
3,2021,"Williams LJ, et al. 2021. Enhanced light interception and light use efficiency explain overyielding in young tree communities. Ecology letters 24: 996-1006.",[10.1111/ele.13717](https://doi.org/10.1111/ele.13717),[Dryad](https://doi.org/10.5061/dryad.9w0vt4bf1),,
3,2021,"Mori AS, et al. 2021. Biodiversity-productivity relationships are key to nature-based climate solutions. Nature Climate Change 11: 543-550.",[10.1038/s41558-021-01062-1](https://doi.org/10.1038/s41558-021-01062-1),[Dryad](https://doi.org/10.5061/dryad.vq83bk3s2),,
3,2021,"Pellegrini AFA, et al. 2021. Decadal changes in fire frequencies shift tree communities and functional traits. Nature Ecology and Evolution 5: 504–512.",[10.1038/s41559-021-01401-7](https://www.nature.com/articles/s41559-021-01401-7),[Wood density](https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.234):&:[Supporting information](https://onlinelibrary-wiley-com.ezp1.lib.umn.edu/action/downloadSupplement?doi=10.1111%2Fj.1365-2486.2011.02401.x&file=GCB_2401_sm_supplinfo.doc):&:[Jstor](https://www-jstor-org.ezp3.lib.umn.edu/stable/4216600?sid=primo&seq=2#metadata_info_tab_contents):&:[Plant Tissue Stoichiometry & Mycorrhizal data](https://www.pnas.org/doi/full/10.1073/pnas.1906655116#data-availability):&:[Supplementary Data](https://static-content.springer.com/esm/art%3A10.1038%2Fs41559-021-01401-7/MediaObjects/41559_2021_1401_MOESM3_ESM.xlsx) ,,
3,2021,"Pellegrini AFA, et al. 2021. Disease and fire interact to influence transitions between ecosystem states over a 54-year experiment. Ecology Letters 24: 1007-1017",[doi.org/10.1111/ele.13719](https://onlinelibrary.wiley.com/doi/10.1111/ele.13719),[Oak Wilt Dataset](https://figshare.com/articles/dataset/Dataset_for_oak_wilt/13729258/1),,
3,2021,Guerrero Martinez NR et al. 2021. Global Root Traits (GRooT) Database. Global Ecol and Biogegraphy 30: 25-37.,[10.1111/geb.13179](https://doi.org/10.1111/geb.13179),[Github page](https://groot-database.github.io/GRooT/),[Github](https://github.com/GRooT-Database/GRooT-Data),
3,2022,"Anoszko E, et al. 2022. Wind and fire: rapid shifts in community composition following multiple disturbances in the southern boreal forest. Ecosphere 13 (3), e3952",[10.1002/ecs2.3952](https://doi.org/10.1002/ecs2.3952),[Data Repository of UMN](https://conservancy.umn.edu/handle/11299/219223),,
3,2022,"Pubin Hong P, et al. 2022. Biodiversity promotes ecosystem functioning despite environmental change. Ecology Letters. 25:555–569.",[10.1111/ele.13936](https://doi.org/10.1111/ele.13936),[Figshare](https://doi.org/10.6084/m9.figshare.16947451.v1),,5
3,2022,"Urgoiti J, et al. 2022. No complementarity no gain—Net diversity effects on tree productivity occur once complementarity emerges during early stand development. Ecol Letters 25 (4), 851-862",[10.1111/ele.13959](https://doi.org/10.1111/ele.13959),[Figshare](https://doi-org.ezp1.lib.umn.edu/10.6084/m9.figshare.14885907.v1),,
3,2022,"Belluau M, et al. Exotics are more complementary over time in tree biodiversity–ecosystem functioning experiments. Functional Ecology. 2021 Nov;35(11):2550-61.",[10.1111/1365-2435.13900](https://doi.org/10.1111/1365-2435.13900),[Dryad](https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13900),,
4,2022,"Cavender-Bares et al. 2022. Remotely detected aboveground plant function predicts belowground processes in two prairie diversity experiments. Ecological Monographs, e01488. {img width=400px}",[10.1002/ecm.1488](https://doi.org/10.1002/ecm.1488),[Data Repository of UMN](https://doi.org/10.13020/fvdj-zv57),[Data Repository of UMN](https://doi.org/10.13020/fvdj-zv57),
4,2022,"Schweiger et al. 2022. Coupling spectral and resource-use complementarity in experimental grassland and forest communities. Proceedings of the Royal Society B, 288: 2021 1290.",[10.1098/rspb.2021.1290](https://doi.org/10.1098/rspb.2021.1290),[EcoSIS 1](https://doi.org/10.21232/tYbmucPP):&:[EcoSIS 2](https://doi.org/10.21232/gMpYDoyN),[Github](https://github.com/annakat/spectral_hypervolume),
4,2021,"Chen X, et al. 2021. Negative to positive shifts in diversity effects on soil nitrogen over time. Nature Sustainability 4: 225–232",[10.1038/s41893-020-00641-y](https://www.nature.com/articles/s41893-020-00641-y),[Figshare](https://doi.org/10.6084/m9.figshare.11400552),[Figshare](https://doi.org/10.6084/m9.figshare.11400552),
4,2022,"Wang G, et al. 2022, Soil enzymes as indicators of soil function: a step toward greater realism in microbial ecological modeling. 28 (5), 1935-1950",[10.1111/gcb.16036](https://doi.org/10.1111/gcb.16036),[BioCONN data at CCESR Data Catalog](https://www.cedarcreek.umn.edu/research/data),[Github](https://github.com/wanggangsheng/MEND.git),
4,2021,"Pastore MA, et al. 2021. Plant species richness increased total ecosystem carbon pools more than elevated CO2 or soil nitrogen addition over 19 years. Proceedings of National Academy of Sciences 118: e2016965118.",[10.1073/pnas.2016965118](https://doi.org/10.1073/pnas.2016965118),[Soil % C/N](http://dx.doi.org/10.6073/pasta/8fe02cded3d5d2979e4596d465b0e470)  :&: [C flux](http://dx.doi.org/10.6073/pasta/7378dc1bf52efbcd45dbf9741c925081):&:[Plant C/N](http://dx.doi.org/10.6073/pasta/4922002b6bc68b8947bf9f8f6905516f):&:[Biomass](http://dx.doi.org/10.6073/pasta/8524be9f00b40a9e71b73a8ba2dc9ed0):&:[Root C/N](http://dx.doi.org/10.6073/pasta/cfc4c93aee56a6d8bb60b5fb206cca0d):&:[Biomass](http://dx.doi.org/10.6073/pasta/c00662959002e588597bd77e0c7dbdbb):&:[Ingrowth biomass](http://dx.doi.org/10.6073/pasta/d307637c4582713659a27cbd209a1d78):&:[Fire biomass loss](http://dx.doi.org/10.6073/pasta/7cf202d217f7a959e9c08ad29d43f758),,
4,2020,Reich PB et al. 2020. Synergistic effects of four climate change drivers on terrestrial carbon cycling. Nature Geoscience 13: 787–793,[10.1038/s41561-020-00657-1](https://doi.org/10.1038/s41561-020-00657-1),[Environmental Data Initiative data repository](https://go.nature.com/3843kVz):&:[EDI Data Portal](https://go.nature.com/38f8s9c),,
4,2021,"Terrer C, et al. 2021. A trade-off between plant and soil carbon storage under elevated CO2. Nature 591: 599-603",[10.1038/s41586-021-03306-8](https://doi.org/10.1038/s41586-021-03306-8),[Figshare](https://figshare.com/projects/Effects_of_elevated_CO2_on_soil_and_ecosystem_carbon_storage/74721):&:[GitHub](https://github.com/cesarterrer/SoilC_CO2):&:[FACE-MDS data](https://www.osti.gov/dataexplorer/biblio/dataset/1480327):&:[CMIP5 data](https://esgf-index1.ceda.ac.uk/search/cmip5-ceda/):&:[TRENDY data](http://dgvm.ceh.ac.uk/index.html),[GitHub](https://github.com/cesarterrer/SoilC_CO2),
4,2022,"Cesarz S, et al. 2022. Tree diversity effects on soil microbial biomass and respiration are context dependent across forest diversity experiments. Global Ecology and Biogeography 31 (5), 872-885",[10.1111/geb.13461](https://doi.org/10.1111/geb.13461),[Dryad](https://datadryad.org/stash/share/1jo89ZCsSXdGLlvO79rDRxPvB5DPe1n1zP6JBI83tP8),,
4,2022,"Pan Y, et al. 2022. Contrasting responses of woody and grassland ecosystems to increased CO2 as water supply varies. Nature Ecology & Evolution 6, 315–323.",[10.1038/s41559-021-01642-6](https://doi.org/10.1038/s41559-021-01642-6),[USDA Research Data Archive](https://www.fs.usda.gov/rds/archive/catalog/RDS-2021-0093),,
5,2020,"Butler, E.E., et al, 2020. Seeing the canopy for the branches: Improved within canopy scaling of leaf nitrogen. Journal of Advances in Modeling Earth Systems, 12(10), p.e2020MS002237.",[10.1029/2020MS002237](https://doi.org/10.1029/2020MS002237),[Zenodo](https://zenodo.org/record/3934661),[Zenodo](https://zenodo.org/record/3934661),
5,2021,"Butler EE, et al. 2021 Updated respiration routines alter spatio-temporal patterns of carbon cycling in a global land surface model. Environ. Res. Lett. 16 104015",[10.1088/1748-9326/ac2528](https://iopscience.iop.org/article/10.1088/1748-9326/ac2528),[Zenodo](https://zenodo.org/record/5217876),,4
5,2021,"Migliavacca, et al. 2021. The three major axes of terrestrial ecosystem function. Nature 598, 468–472 ",[10.1038/s41586-021-03939-9](https://doi.org/10.1038/s41586-021-03939-9),[FLUXNET](https://fluxnet.fluxdata.org/data/la-thuile-dataset/):&:[FLUXNET](https://fluxnet.fluxdata.org/data/fluxnet2015-dataset/):&:[Zenodo](https://doi.org/10.5281/zenodo.5153538):&:[Zenodo](https://doi.org/10.5281/zenodo.5153538),[Zenodo](https://doi.org/10.5281/zenodo.5153538) :&: [Zenodo](https://doi.org/10.5281/zenodo.5153534) :&: [Zenodo](https://doi.org/10.5281/zenodo.3921923),"3, 4"
5,2021,Pinto-Ledezma JN et al. 2021.Predicting species distributions and community composition using satellite remote sensing predictors. Scientific Reports 11: 16448.,[10.1038/s41598-021-96047-7](https://doi.org/10.1038/s41598-021-96047-7),[CHIRPS](https://www.chc.ucsb.edu/data/chirps):&:[EarthData -MOD11C3](https://lpdaac.usgs.gov/products/mod11c3v006/):&:[Predicted oak species models](https://doi.org/10.5281/zenodo.4611525),[Github](https://github.com/jesusNPL/BayesianSDMs_Oaks),
5,2022,"Anderegg, L. D. L., et al. 2022. Representing plant diversity in land models: An evolutionary approach to make “Functional Types” more functional. Global Change Biology 28:2541-2554.",[10.1111/gcb.16040](https://doi.org/10.1111/gcb.16040),"[Anderegg, Berner, et al. 2018](https://doi.org/10.5061/dryad.c1dn34b):&:[Falster et al. 2015](https://doi.org/10.6084/m9.figshare.c.3307692.v1):&:[Gleason et al. 2015 as dataset #241](https://www.try-db.org/):&:[Law & Berner 2015](https://doi.org/10.3334/ORNLDAAC/1292):&:[Ledo et al. 2018](https://doi.org/10.6084/m9.figshare.5144164.v1):&:[Zanne et al. 2009](https://doi.org/10.5061/dryad.234)",[Github](https://github.com/leanderegg/LineageFunctionalType_PNWexample),
5,2022,"Butler EE, et al. 2022. Increasing functional diversity in a global land surface model illustrates uncertainties related to parameter simplification. Journal of Geophysical Research – Biogeosciences e2021JG006606",[10.1029/2021JG006606](https://doi.org/10.1029/2021JG006606),[Model output on Zenodo](https://zenodo.org/record/6127506),[Zenodo](https://zenodo.org/record/6127506),
5,2022,"Gatti RC, et al. 2022. The number of tree species on Earth. Proc Nat Acad Sci 119 (6), e2115329119",[10.1073/pnas.2115329119](https://doi.org/10.1073/pnas.2115329119),[GFBI](https://gfbinitiative.net/data/),,
5,2022,"Barry KE, et al. A graphical null model for scaling biodiversity–ecosystem functioning relationships. Journal of Ecology. 2021 Mar;109(3):1549-60.",[10.1111/1365-2745.13578](https://doi.org/10.1111/1365-2745.13578),[Dryad](https://doi.org/10.5061/dryad.3xsj3txfk):&:[BCI 50-Ha plot data](http://ctfs.si.edu/webatlas/datasets/bci/),[Dryad](https://doi.org/10.5061/dryad.3xsj3txfk),3
